task,fold,model,model_group,noise_sigma,n,accuracy,balanced_accuracy,f1_macro,roc_auc_ovr_macro
UCEC_molecular_subtype,1,liquid_cfc_modality_sequence,liquid_nn,0.05,51,0.9019607843137255,0.9154761904761904,0.8990602309567827,0.9925551540170917
UCEC_molecular_subtype,1,liquid_cfc_modality_sequence,liquid_nn,0.1,51,0.9215686274509803,0.9321428571428572,0.9177489177489178,0.9930181169800547
UCEC_molecular_subtype,1,liquid_cfc_modality_sequence,liquid_nn,0.2,51,0.9215686274509803,0.9321428571428572,0.9177489177489178,0.9914681974953525
UCEC_molecular_subtype,1,liquid_cfc_modality_sequence,liquid_nn,0.3,51,0.9019607843137255,0.9142857142857144,0.9014469014469014,0.9910857285857286
UCEC_molecular_subtype,1,liquid_cfc_modality_sequence,liquid_nn,0.5,51,0.9215686274509803,0.9321428571428572,0.9055555555555556,0.9928551999204174
UCEC_molecular_subtype,1,small_liquid_cfc_modality_sequence,small_liquid_nn,0.0,51,0.9411764705882353,0.9154761904761906,0.9324074074074075,0.9909982329682947
UCEC_molecular_subtype,1,small_liquid_cfc_modality_sequence,small_liquid_nn,0.05,51,0.9411764705882353,0.9154761904761906,0.9324074074074075,0.9909982329682947
UCEC_molecular_subtype,1,small_liquid_cfc_modality_sequence,small_liquid_nn,0.1,51,0.9411764705882353,0.9154761904761906,0.9324074074074075,0.9914307589198519
UCEC_molecular_subtype,1,small_liquid_cfc_modality_sequence,small_liquid_nn,0.2,51,0.9411764705882353,0.9154761904761906,0.9324074074074075,0.9923960098851028
UCEC_molecular_subtype,1,small_liquid_cfc_modality_sequence,small_liquid_nn,0.3,51,0.9411764705882353,0.9154761904761906,0.9169312169312169,0.9923655728736969
UCEC_molecular_subtype,1,small_liquid_cfc_modality_sequence,small_liquid_nn,0.5,51,0.9215686274509803,0.8988095238095237,0.8991379310344827,0.9798249056617494
UCEC_molecular_subtype,2,logistic_elasticnet,linear,0.0,51,0.9803921568627451,0.9821428571428572,0.9835978835978836,0.976237792414263
UCEC_molecular_subtype,2,logistic_elasticnet,linear,0.05,51,0.9803921568627451,0.9821428571428572,0.9835978835978836,0.976237792414263
UCEC_molecular_subtype,2,logistic_elasticnet,linear,0.1,51,0.9803921568627451,0.9821428571428572,0.9835978835978836,0.976237792414263
UCEC_molecular_subtype,2,logistic_elasticnet,linear,0.2,51,0.9607843137254902,0.967436974789916,0.967436974789916,0.976237792414263
UCEC_molecular_subtype,2,logistic_elasticnet,linear,0.3,51,0.9607843137254902,0.9654761904761905,0.9663793103448276,0.976237792414263
UCEC_molecular_subtype,2,logistic_elasticnet,linear,0.5,51,0.9803921568627451,0.9821428571428572,0.9835978835978836,0.9775353702689342
UCEC_molecular_subtype,2,random_forest,tree_ensemble,0.0,51,0.9019607843137255,0.8488095238095238,0.8718869731800767,0.9742711940808826
UCEC_molecular_subtype,2,random_forest,tree_ensemble,0.05,51,0.8823529411764706,0.8321428571428572,0.854563492063492,0.9728429801526688
UCEC_molecular_subtype,2,random_forest,tree_ensemble,0.1,51,0.8823529411764706,0.8321428571428572,0.8546455938697318,0.9742407570694769
UCEC_molecular_subtype,2,random_forest,tree_ensemble,0.2,51,0.9019607843137255,0.8488095238095238,0.8724206349206349,0.9719456047743245
UCEC_molecular_subtype,2,random_forest,tree_ensemble,0.3,51,0.9215686274509803,0.8654761904761905,0.8901583034647551,0.9756385339862849
UCEC_molecular_subtype,2,random_forest,tree_ensemble,0.5,51,0.7254901960784313,0.6916666666666667,0.7208704942400594,0.9652281730568928
UCEC_molecular_subtype,2,extra_trees,tree_ensemble,0.0,51,0.8823529411764706,0.8321428571428572,0.8546455938697318,0.9761839199555462
UCEC_molecular_subtype,2,extra_trees,tree_ensemble,0.05,51,0.8823529411764706,0.8321428571428572,0.8546455938697318,0.9762035824752088
UCEC_molecular_subtype,2,extra_trees,tree_ensemble,0.1,51,0.9019607843137255,0.8488095238095238,0.8724206349206349,0.9752167825264711
UCEC_molecular_subtype,2,extra_trees,tree_ensemble,0.2,51,0.9215686274509803,0.8654761904761905,0.8901583034647551,0.9765948969236167
UCEC_molecular_subtype,2,extra_trees,tree_ensemble,0.3,51,0.9215686274509803,0.8654761904761905,0.8901583034647551,0.9724998787715051
UCEC_molecular_subtype,2,extra_trees,tree_ensemble,0.5,51,0.8823529411764706,0.8297619047619048,0.856990662139219,0.9719563792660678
UCEC_molecular_subtype,2,hist_gradient_boosting,boosting,0.0,51,0.8823529411764706,0.8341036414565827,0.8578917050691244,0.9706644608028692
UCEC_molecular_subtype,2,hist_gradient_boosting,boosting,0.05,51,0.9215686274509803,0.8988095238095237,0.9146141215106732,0.9687929464313547
UCEC_molecular_subtype,2,hist_gradient_boosting,boosting,0.1,51,0.9215686274509803,0.8988095238095237,0.9146141215106732,0.9696884353458748
UCEC_molecular_subtype,2,hist_gradient_boosting,boosting,0.2,51,0.8627450980392157,0.8142857142857144,0.8403029844726759,0.9644099920484003
UCEC_molecular_subtype,2,hist_gradient_boosting,boosting,0.3,51,0.8823529411764706,0.830952380952381,0.8562691385967248,0.9611299262683346
UCEC_molecular_subtype,2,hist_gradient_boosting,boosting,0.5,51,0.7254901960784313,0.7226190476190477,0.737590911503955,0.9604988886563282
UCEC_molecular_subtype,2,mlp_early_fusion,static_nn,0.0,51,0.9019607843137255,0.917436974789916,0.9171937592241197,0.9858700457748901
UCEC_molecular_subtype,2,mlp_early_fusion,static_nn,0.05,51,0.9019607843137255,0.917436974789916,0.9171937592241197,0.986795971700816
UCEC_molecular_subtype,2,mlp_early_fusion,static_nn,0.1,51,0.9019607843137255,0.917436974789916,0.9171937592241197,0.9834765808814251
UCEC_molecular_subtype,2,mlp_early_fusion,static_nn,0.2,51,0.9019607843137255,0.917436974789916,0.9171937592241197,0.9858503832552276
UCEC_molecular_subtype,2,mlp_early_fusion,static_nn,0.3,51,0.8823529411764706,0.9027310924369748,0.9026199494949495,0.985328432733277
