task,model,model_group,noise_sigma,folds,f1_macro_mean,f1_macro_sd,roc_auc_ovr_macro_mean
HNSC_HPV_status,extra_trees,tree_ensemble,0.05,10,0.9203405620748419,0.053161413488969946,0.9725962336153973
HNSC_HPV_status,extra_trees,tree_ensemble,0.1,10,0.915370727987361,0.055800566053593424,0.972614899618384
HNSC_HPV_status,extra_trees,tree_ensemble,0.2,10,0.9100147385952269,0.052223857805898166,0.977748050439688
HNSC_HPV_status,extra_trees,tree_ensemble,0.3,10,0.8789200762600451,0.037254251528830225,0.9693690890990542
HNSC_HPV_status,extra_trees,tree_ensemble,0.5,10,0.8140258834283317,0.08324557844118792,0.9708001493280239
HNSC_HPV_status,hist_gradient_boosting,boosting,0.0,10,0.9309576735246962,0.05946400428300033,0.9519744483159117
HNSC_HPV_status,hist_gradient_boosting,boosting,0.05,10,0.9251172123086148,0.0679017882993911,0.9523851003816161
HNSC_HPV_status,hist_gradient_boosting,boosting,0.1,10,0.9309576735246962,0.05946400428300033,0.950234362037498
HNSC_HPV_status,hist_gradient_boosting,boosting,0.2,10,0.9287269630586916,0.058481521575752725,0.9423801227808196
HNSC_HPV_status,hist_gradient_boosting,boosting,0.3,10,0.9062595860948506,0.07334959148064706,0.9415878546540567
HNSC_HPV_status,hist_gradient_boosting,boosting,0.5,10,0.8949736277819611,0.058836668260460356,0.9572984071677452
HNSC_HPV_status,liquid_cfc_modality_sequence,liquid_nn,0.0,10,0.8793765140262666,0.08898341060511081,0.9617118798739007
HNSC_HPV_status,liquid_cfc_modality_sequence,liquid_nn,0.05,10,0.8793765140262666,0.08898341060511081,0.9613987058237929
HNSC_HPV_status,liquid_cfc_modality_sequence,liquid_nn,0.1,10,0.8741224681329424,0.09134028090230539,0.9606665837066533
HNSC_HPV_status,liquid_cfc_modality_sequence,liquid_nn,0.2,10,0.8793933743358359,0.10137575897359882,0.9630807200929151
HNSC_HPV_status,liquid_cfc_modality_sequence,liquid_nn,0.3,10,0.8805738868643077,0.08775042834804005,0.960747469719595
HNSC_HPV_status,liquid_cfc_modality_sequence,liquid_nn,0.5,10,0.8684816077971748,0.10773181505805751,0.9498589679774347
HNSC_HPV_status,logistic_elasticnet,linear,0.0,10,0.9468769996336925,0.0376487303361201,0.9611062717770034
HNSC_HPV_status,logistic_elasticnet,linear,0.05,10,0.9468769996336925,0.0376487303361201,0.9606873237099718
HNSC_HPV_status,logistic_elasticnet,linear,0.1,10,0.9366004571731569,0.04786828530471872,0.9564003650240585
HNSC_HPV_status,logistic_elasticnet,linear,0.2,10,0.9433432304104581,0.03787088049982909,0.956937531110005
HNSC_HPV_status,logistic_elasticnet,linear,0.3,10,0.9404673742038687,0.04674103298250826,0.9629189480670316
HNSC_HPV_status,logistic_elasticnet,linear,0.5,10,0.9344609409815499,0.04450362956446857,0.9608034677285548
HNSC_HPV_status,mlp_early_fusion,static_nn,0.0,10,0.8530186429006914,0.06786079553428191,0.9764476522316243
HNSC_HPV_status,mlp_early_fusion,static_nn,0.05,10,0.8530186429006914,0.06786079553428191,0.9771445163431226
