task,model,model_group,folds,f1_macro_mean,f1_macro_sd,roc_auc_ovr_macro_mean,roc_auc_ovr_macro_sd,f1_macro_ci95_low,f1_macro_ci95_high,roc_auc_ovr_macro_ci95_low,roc_auc_ovr_macro_ci95_high
COADREAD_molecular_subtype,extra_trees,tree_ensemble,10,0.8676464419323919,0.0693477331548751,0.9554414949694555,0.03746177507603763,0.824664271613952,0.9106286122508319,0.9322224462205471,0.978660543718364
COADREAD_molecular_subtype,small_liquid_cfc_modality_sequence,small_liquid_nn,10,0.8627974980116477,0.07283143959660639,0.9628547622577228,0.033676879532984094,0.8176561040703745,0.907938891952921,0.9419816160707007,0.9837279084447449
COADREAD_molecular_subtype,mlp_early_fusion,static_nn,10,0.8596200413824157,0.08585557320839783,0.9653415080290081,0.0245582060545822,0.8064062057954737,0.9128338769693576,0.9501201742184855,0.9805628418395307
COADREAD_molecular_subtype,logistic_elasticnet,linear,10,0.845258440616794,0.03848955714324007,0.9555793026418027,0.03606241783227009,0.8214023659428409,0.8691145152907471,0.9332275844984042,0.9779310207852012
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,liquid_nn,10,0.8422185057936613,0.07806906057629553,0.9572638888888889,0.03345389955739206,0.793830800736354,0.8906062108509686,0.9365289471225808,0.977998830655197
COADREAD_molecular_subtype,random_forest,tree_ensemble,10,0.8300167808731397,0.07365815711379722,0.9563927138894244,0.031218040776421086,0.7843629821060335,0.8756705796402459,0.93704357175289,0.9757418560259588
COADREAD_molecular_subtype,hist_gradient_boosting,boosting,10,0.8235681867790225,0.08590292764878607,0.959588489057239,0.027645997104921227,0.7703250006058464,0.8768113729521987,0.9424533225257965,0.9767236555886816
HNSC_HPV_status,logistic_elasticnet,linear,10,0.9468769996336925,0.0376487303361201,0.9611062717770034,0.03809689158131102,0.9235420748140718,0.9702119244533133,0.9374935737397938,0.9847189698142129
HNSC_HPV_status,hist_gradient_boosting,boosting,10,0.9309576735246962,0.05946400428300033,0.9519744483159117,0.04755323734351967,0.8941015018283516,0.9678138452210407,0.9225006464523727,0.9814482501794507
HNSC_HPV_status,extra_trees,tree_ensemble,10,0.9247749512151134,0.05805842183257864,0.9726231956197113,0.035973204768475306,0.8887899685473375,0.9607599338828894,0.950326772306125,0.9949196189332977
HNSC_HPV_status,random_forest,tree_ensemble,10,0.9046199124554235,0.061549648540993776,0.9647067363530779,0.0494919833349549,0.8664710450552331,0.9427687798556139,0.9340312872745974,0.9953821854315584
HNSC_HPV_status,liquid_cfc_modality_sequence,liquid_nn,10,0.8793765140262666,0.08898341060511081,0.9617118798739007,0.03443245116794331,0.8242240247357687,0.9345290033167645,0.9403704255357085,0.983053334212093
HNSC_HPV_status,small_liquid_cfc_modality_sequence,small_liquid_nn,10,0.8746602613055291,0.07814846641280272,0.9581280073004812,0.04611351660325833,0.8262233400008586,0.9230971826101996,0.9295465535967689,0.9867094610041935
HNSC_HPV_status,mlp_early_fusion,static_nn,10,0.8530186429006914,0.06786079553428191,0.9764476522316243,0.026540275966332277,0.8109580860677059,0.8950791997336769,0.9599978187621492,0.9928974857010995
KIRC_grade_binary,random_forest,tree_ensemble,10,0.6783909214260851,0.04247613667992048,0.7335380199510635,0.06863489992861244,0.6520639391559035,0.7047179036962667,0.6909976682436434,0.7760783716584836
KIRC_grade_binary,extra_trees,tree_ensemble,10,0.6661723580117023,0.06391288719002777,0.7300510278771148,0.06728571184480342,0.6265587401215565,0.705785975901848,0.6883469116077064,0.7717551441465232
KIRC_grade_binary,hist_gradient_boosting,boosting,10,0.652881065586887,0.0962564352732211,0.7256924838446578,0.0981486939283326,0.5932207089041447,0.7125414222696292,0.6648592930965409,0.7865256745927747
KIRC_grade_binary,small_liquid_cfc_modality_sequence,small_liquid_nn,10,0.6500511752583051,0.04406725628283642,0.711284950958864,0.060496374260774616,0.622738006841032,0.6773643436755783,0.6737889097210416,0.7487809921966865
KIRC_grade_binary,liquid_cfc_modality_sequence,liquid_nn,10,0.6452828289540089,0.06624972135685055,0.703910481627873,0.08540021828017588,0.6042208262415358,0.686344831666482,0.6509788779494559,0.75684208530629
KIRC_grade_binary,logistic_elasticnet,linear,10,0.6392356828109781,0.06720569260650582,0.6892109500805152,0.06604134380461545,0.5975811629793015,0.6808902026426547,0.6482781011129917,0.7301437990480388
KIRC_grade_binary,mlp_early_fusion,static_nn,10,0.6382349970193186,0.05065239191254924,0.723888732040906,0.07091673427067698,0.6068403192530056,0.6696296747856316,0.6799340847557191,0.7678433793260928
PRAD_pathologic_T_stage,random_forest,tree_ensemble,10,0.683906720277633,0.08729665079465689,0.7733820662768032,0.06840748273244925,0.6297996955490022,0.7380137450062638,0.7309826692079002,0.8157814633457061
PRAD_pathologic_T_stage,hist_gradient_boosting,boosting,10,0.6818051704343653,0.03856604380816923,0.7493177387914229,0.0809183553912798,0.6579016888343382,0.7057086520343924,0.6991640225113467,0.7994714550714992
PRAD_pathologic_T_stage,extra_trees,tree_ensemble,10,0.6782109905197392,0.08616864770083735,0.7712085769980507,0.06956993969055093,0.6248031093520089,0.7316188716874695,0.7280886816419233,0.814328472354178
PRAD_pathologic_T_stage,liquid_cfc_modality_sequence,liquid_nn,10,0.6742293020059387,0.06015034713808071,0.7488499025341131,0.07387822506935572,0.6369477306007381,0.7115108734111393,0.703059704235009,0.7946401008332172
PRAD_pathologic_T_stage,small_liquid_cfc_modality_sequence,small_liquid_nn,10,0.6722281186214205,0.07136870379553008,0.7535380116959065,0.08923670179848002,0.6279933377224558,0.7164628995203852,0.6982285308972761,0.8088474924945369
PRAD_pathologic_T_stage,mlp_early_fusion,static_nn,10,0.6662185286336493,0.0929291124944856,0.7459356725146199,0.09467781886471117,0.6086204679752144,0.7238165892920841,0.6872537524187884,0.8046175926104514
PRAD_pathologic_T_stage,logistic_elasticnet,linear,10,0.6307993040978872,0.0740419621899265,0.7092105263157895,0.06653706511465225,0.5849076204800329,0.6766909877157415,0.6679704260970837,0.7504506265344953
UCEC_molecular_subtype,extra_trees,tree_ensemble,10,0.8943962384880357,0.06771288717608454,0.9831117106092799,0.010629920282010001,0.8524273562052387,0.9363651207708328,0.9765232177595944,0.9897002034589655
