training_scale,seed,model,model_group,split,n,accuracy,balanced_accuracy,f1_macro,roc_auc_ovr_macro
expanded_tcga_metabric_scanb_smc,42,lda_shrinkage,linear_discriminant,train,5135,0.8691333982473223,0.8129057434665514,0.8307283460614938,0.9761707061348233
expanded_tcga_metabric_scanb_smc,42,lda_shrinkage,linear_discriminant,valid,907,0.8511576626240352,0.7983118008789116,0.8138058282264133,0.969788724349608
expanded_tcga_metabric_scanb_smc,42,lda_shrinkage,linear_discriminant,cptac_external,122,0.9016393442622951,0.8012325946712624,0.8136072155309904,0.9871329071920201
expanded_tcga_metabric_scanb_smc,42,gaussian_nb,probabilistic,train,5135,0.7918208373904576,0.7977380382250268,0.7694641867090369,0.9564831056638436
expanded_tcga_metabric_scanb_smc,42,gaussian_nb,probabilistic,valid,907,0.7905181918412348,0.7994559943933577,0.7667888748419722,0.9514395637231512
expanded_tcga_metabric_scanb_smc,42,gaussian_nb,probabilistic,cptac_external,122,0.8688524590163934,0.865914888641482,0.8183552131417077,0.9814083908089287
expanded_tcga_metabric_scanb_smc,42,knn_distance,instance_based,train,5135,1.0,1.0,1.0,1.0
expanded_tcga_metabric_scanb_smc,42,knn_distance,instance_based,valid,907,0.836824696802646,0.7283143733710447,0.7609878469050719,0.9648643243198366
expanded_tcga_metabric_scanb_smc,42,knn_distance,instance_based,cptac_external,122,0.8442622950819673,0.6432023263025719,0.6663338453661034,0.9771497114450414
expanded_tcga_metabric_scanb_smc,42,random_forest,tree_ensemble,train,5135,0.9996105160662123,0.9998351195383346,0.9997525092715456,0.999998867529994
expanded_tcga_metabric_scanb_smc,42,random_forest,tree_ensemble,valid,907,0.8820286659316428,0.8230528389884126,0.8430713253823983,0.9805922344742498
expanded_tcga_metabric_scanb_smc,42,random_forest,tree_ensemble,cptac_external,122,0.9098360655737705,0.7682501385309115,0.791634906231095,0.9903199013359597
expanded_tcga_metabric_scanb_smc,42,extra_trees,tree_ensemble,train,5135,1.0,1.0,1.0,1.0
expanded_tcga_metabric_scanb_smc,42,extra_trees,tree_ensemble,valid,907,0.8831312017640573,0.822688592642858,0.8427676548715202,0.9800612823123048
expanded_tcga_metabric_scanb_smc,42,extra_trees,tree_ensemble,cptac_external,122,0.9180327868852459,0.7800148444132644,0.8004005033790451,0.9914181454499731
expanded_tcga_metabric_scanb_smc,42,hist_gradient_boosting,boosting,train,5135,1.0,1.0,1.0,1.0
expanded_tcga_metabric_scanb_smc,42,hist_gradient_boosting,boosting,valid,907,0.8941565600882029,0.8652337421973533,0.8691772845911352,0.9856254469746852
expanded_tcga_metabric_scanb_smc,42,hist_gradient_boosting,boosting,cptac_external,122,0.9344262295081968,0.8625358528166258,0.8845939933259178,0.9874285379591068
expanded_tcga_metabric_scanb_smc,42,sklearn_mlp,static_nn,train,5135,0.9585199610516066,0.938030214549803,0.9478545100074607,0.9967713714254668
expanded_tcga_metabric_scanb_smc,42,sklearn_mlp,static_nn,valid,907,0.8721058434399118,0.8316006926724764,0.8420323804593959,0.9806433130676332
expanded_tcga_metabric_scanb_smc,42,sklearn_mlp,static_nn,cptac_external,122,0.9344262295081968,0.8857291301275501,0.8972654864914926,0.9912084870415937
joined_tcga_metabric,43,logistic_l2,linear,train,2326,0.8938091143594153,0.92770570104734,0.8900923690012291,0.9897411915289899
joined_tcga_metabric,43,logistic_l2,linear,valid,411,0.8418491484184915,0.8485930171964565,0.8181332915038604,0.9762454038389972
joined_tcga_metabric,43,logistic_l2,linear,cptac_external,122,0.9180327868852459,0.8977444625763191,0.8627364715973662,0.9878250724971884
joined_tcga_metabric,43,logistic_elasticnet,linear,train,2326,0.883920894239037,0.9174384551817504,0.8766573258981889,0.9890616244756121
joined_tcga_metabric,43,logistic_elasticnet,linear,valid,411,0.8491484184914841,0.8638321050150127,0.827072453550629,0.9778905314447799
joined_tcga_metabric,43,logistic_elasticnet,linear,cptac_external,122,0.9344262295081968,0.9130179403884966,0.8829830400792288,0.9899253160553471
joined_tcga_metabric,43,ridge_classifier,linear,train,2326,0.7704213241616509,0.8236700800717275,0.7624749417975716,0.9622034027587751
joined_tcga_metabric,43,ridge_classifier,linear,valid,411,0.7615571776155717,0.8115010298022284,0.7529825115887062,0.9464423224977001
joined_tcga_metabric,43,ridge_classifier,linear,cptac_external,122,0.8032786885245902,0.802928009679371,0.7256263482691254,0.9651269415609567
joined_tcga_metabric,43,linear_svm_calibrated,linear_svm,train,2326,0.8658641444539983,0.7722632829104187,0.802059216129377,0.9831335448739944
joined_tcga_metabric,43,linear_svm_calibrated,linear_svm,valid,411,0.8661800486618005,0.7766882552916946,0.8025539029542955,0.968904029816548
joined_tcga_metabric,43,linear_svm_calibrated,linear_svm,cptac_external,122,0.9098360655737705,0.7400148444132644,0.7277568252181256,0.9660105342487212
joined_tcga_metabric,43,lda_shrinkage,linear_discriminant,train,2326,0.852536543422184,0.796857604952085,0.8133142465620802,0.9745253392266496
joined_tcga_metabric,43,lda_shrinkage,linear_discriminant,valid,411,0.8491484184914841,0.8130286111317899,0.8205817983134841,0.9671836594045615
joined_tcga_metabric,43,lda_shrinkage,linear_discriminant,cptac_external,122,0.8688524590163934,0.7589622128343171,0.7457646950855781,0.9856429391850241
