label,precision,recall,f1-score,support
Basal,1.0,0.9655172413793104,0.9824561403508771,29.0
Her2,0.8666666666666667,0.9285714285714286,0.896551724137931,14.0
LumA,0.9814814814814815,0.9298245614035088,0.954954954954955,57.0
LumB,0.8888888888888888,0.9411764705882353,0.9142857142857143,17.0
Normal,0.5714285714285714,0.8,0.6666666666666666,5.0
accuracy,0.9344262295081968,0.9344262295081968,0.9344262295081968,0.9344262295081968
macro avg,0.8616931216931217,0.9130179403884966,0.8829830400792288,122.0
weighted avg,0.943000260213375,0.9344262295081968,0.9373079927600769,122.0
